DEBUG:2018-09-15 23:18:25,725 class Data called.
INFO:2018-09-15 23:19:16,549 a controller button was pressed
INFO:2018-09-15 23:19:16,549 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:16,549 image count now set to 20.  There are 59 total images
INFO:2018-09-15 23:19:16,738 a controller button was pressed
INFO:2018-09-15 23:19:16,738 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:16,738 image count now set to 21.  There are 59 total images
INFO:2018-09-15 23:19:17,158 a controller button was pressed
INFO:2018-09-15 23:19:17,158 Controller button 2 pressed
INFO:2018-09-15 23:19:17,387 a controller button was pressed
INFO:2018-09-15 23:19:17,387 Controller button 2 pressed
INFO:2018-09-15 23:19:17,691 a controller button was pressed
INFO:2018-09-15 23:19:17,691 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:17,691 image count now set to 22.  There are 59 total images
INFO:2018-09-15 23:19:18,033 a controller button was pressed
INFO:2018-09-15 23:19:18,033 Controller button 2 pressed
INFO:2018-09-15 23:19:18,374 a controller button was pressed
INFO:2018-09-15 23:19:18,374 Controller button 2 pressed
INFO:2018-09-15 23:19:18,830 a controller button was pressed
INFO:2018-09-15 23:19:18,830 Controller button 2 pressed
INFO:2018-09-15 23:19:19,363 a controller button was pressed
INFO:2018-09-15 23:19:19,363 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:19,363 image count now set to 23.  There are 59 total images
INFO:2018-09-15 23:19:19,553 a controller button was pressed
INFO:2018-09-15 23:19:19,553 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:19,553 image count now set to 24.  There are 59 total images
INFO:2018-09-15 23:19:19,591 a controller button was pressed
INFO:2018-09-15 23:19:19,591 Controller button 2 pressed
INFO:2018-09-15 23:19:19,743 a controller button was pressed
INFO:2018-09-15 23:19:19,743 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:19,743 image count now set to 25.  There are 59 total images
INFO:2018-09-15 23:19:19,894 a controller button was pressed
INFO:2018-09-15 23:19:19,894 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:19,894 image count now set to 26.  There are 59 total images
INFO:2018-09-15 23:19:20,084 a controller button was pressed
INFO:2018-09-15 23:19:20,084 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:20,084 image count now set to 27.  There are 59 total images
INFO:2018-09-15 23:19:20,236 a controller button was pressed
INFO:2018-09-15 23:19:20,236 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:20,236 image count now set to 28.  There are 59 total images
INFO:2018-09-15 23:19:20,426 a controller button was pressed
INFO:2018-09-15 23:19:20,426 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:20,426 image count now set to 29.  There are 59 total images
